1.8528	0.2274
1.8316	0.2411
1.8233	0.2462
1.8136	0.2488
1.8009	0.2525
1.7756	0.271
1.718	0.3095
1.6684	0.3397
1.6118	0.3711
1.5716	0.3858
1.5414	0.3989
1.5099	0.4166
1.4811	0.4284
1.443	0.4459
1.4199	0.4579
1.3839	0.4738
1.3556	0.4847
1.3268	0.4956
1.3073	0.5036
1.2782	0.5204
1.2584	0.5252
1.2286	0.5406
1.2101	0.5453
1.1888	0.5553
1.1687	0.5655
1.1461	0.5713
1.1247	0.582
1.0986	0.5919
1.0815	0.5981
1.0598	0.6086
1.0333	0.6145
1.0153	0.6216
0.9874	0.6374
0.9658	0.6428
0.9462	0.6519
0.9195	0.6586
0.8965	0.6717
0.8698	0.6839
0.8398	0.6954
0.8234	0.7048
0.7961	0.7097
0.7625	0.7224
0.7546	0.7256
0.7174	0.7377
0.6994	0.75
0.6691	0.7597
0.6547	0.7637
0.6355	0.7721
0.6044	0.7861
0.5816	0.7919
0.5629	0.7942
0.533	0.8078
0.5215	0.8115
0.4944	0.824
0.4836	0.8315
0.4628	0.8379
0.44	0.8463
0.421	0.8522
0.4118	0.8566
0.3917	0.8628
0.386	0.8645
0.3668	0.8726
0.3504	0.8755
0.3354	0.8826
0.328	0.8854
0.3251	0.8866
0.3092	0.8932
0.2988	0.8978
0.2814	0.9023
0.2734	0.9062
0.2691	0.9073
0.277	0.9033
0.2526	0.9142
0.2413	0.9182
0.2437	0.9168
0.2368	0.9184
0.2276	0.9225
0.2212	0.9234
0.2202	0.9241
0.2023	0.9315
0.2157	0.927
0.1938	0.9339
0.2057	0.9291
0.19	0.9348
0.189	0.9343
0.1812	0.9393
0.1747	0.9415
0.1704	0.9428
0.1709	0.9411
0.1639	0.9437
0.1699	0.9419
0.1607	0.9458
0.1596	0.9465
0.1542	0.9475
0.1502	0.9484
0.1533	0.9461
0.1432	0.9519
0.1444	0.9507
0.1435	0.9514
0.1423	0.9531
0.1333	0.9554
0.1477	0.95
0.1332	0.9562
0.137	0.9538
0.1314	0.9568
0.1309	0.9565
0.1236	0.9593
0.1237	0.959
0.12	0.9603
0.1218	0.9592
0.1145	0.9615
0.1191	0.9601
0.1143	0.9614
0.1143	0.9633
0.1091	0.965
0.1153	0.9617
0.1115	0.9636
0.111	0.964
0.1108	0.9636
0.1057	0.965
0.1025	0.9656
0.1003	0.9669
0.1039	0.9646
0.1032	0.9662
0.0979	0.9675
0.0996	0.9681
0.0962	0.9678
0.1025	0.967
0.0975	0.9676
0.0968	0.9674
0.0974	0.9676
0.0936	0.9685
0.0898	0.97
0.0975	0.968
0.0884	0.9712
0.0918	0.9697
0.0883	0.9702
0.0883	0.9716
0.0857	0.9728
0.0876	0.9718
0.0884	0.9701
0.0793	0.9745
0.0897	0.97
0.0864	0.9728
0.0823	0.973
0.0832	0.9731
0.0827	0.9734
0.0783	0.9746
0.082	0.9728
0.076	0.9748
0.0718	0.9763
0.0802	0.9736
0.0775	0.975
0.0772	0.9747
0.0784	0.9748
0.0732	0.9763
0.0742	0.9756
0.0757	0.9759
0.0835	0.9736
0.0709	0.9761
0.0763	0.9751
0.0685	0.9775
0.0762	0.975
0.0722	0.9766
0.0682	0.9772
0.0671	0.9776
0.072	0.9773
0.07	0.9765
0.07	0.9772
0.065	0.9784
0.0674	0.9771
0.0662	0.9786
0.0662	0.9785
0.0664	0.9788
0.0689	0.9776
0.066	0.9783
0.0642	0.9787
0.064	0.9796
0.0643	0.9786
0.0646	0.9782
0.0643	0.9786
0.066	0.9771
0.063	0.9802
0.063	0.979
0.058	0.9807
0.0669	0.9781
0.0632	0.9798
0.0585	0.9811
0.0593	0.9803
0.0598	0.9798
0.0577	0.9815
0.0626	0.9796
0.0617	0.98
0.0554	0.9808
0.0605	0.9802
0.0604	0.9808
0.0593	0.9812
0.0575	0.981
0.058	0.9809
0.0553	0.9824
0.0608	0.9805
0.0566	0.9819
0.0533	0.9827
0.0533	0.9823
0.057	0.9805
0.0548	0.9828
0.057	0.9813
0.0536	0.9834
0.057	0.9815
0.0551	0.9821
0.0499	0.9834
0.0518	0.982
0.0489	0.9839
0.0545	0.9825
0.0501	0.9833
0.0571	0.9813
0.0513	0.9836
0.0548	0.9821
0.0521	0.9834
0.0482	0.9846
0.0515	0.983
0.0512	0.9833
0.0531	0.9826
0.0489	0.983
0.0502	0.9833
0.0483	0.9842
0.0501	0.9841
0.0496	0.983
0.0511	0.9825
0.0502	0.9833
0.0478	0.9839
0.047	0.9839
0.0507	0.983
0.0455	0.9853
0.048	0.9845
0.0487	0.9836
0.049	0.9833
0.0489	0.9835
0.0454	0.9852
